Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-0.147466	0.983166	-4.200000
112.982271	-0.156114	0.982187	-4.500000
127.649936	-0.156114	0.982187	-5.100000
144.221796	-0.156114	0.982187	-4.800000
162.945060	-0.156114	0.982187	-6.500000
184.099030	-0.195561	0.977737	-6.200000
207.999265	-0.195561	0.977737	-8.300000
235.002293	-0.187337	0.978663	-8.300000
265.510927	-0.235699	0.973229	-10.200000
299.980275	-0.284332	0.967795	-10.600000
338.924528	-0.333239	0.962361	-12.000000
382.924628	-0.365519	0.958791	-13.600000
432.636941	-0.414983	0.953347	-15.300000
488.803041	-0.417470	0.953074	-17.400000
552.260777	-0.518411	0.942062	-18.800000
623.956767	-0.672056	0.925544	-21.200000
704.960526	-0.780554	0.914055	-23.900000
796.480411	-0.993595	0.891908	-27.100000
899.881657	-1.267462	0.864225	-29.300000
1016.706732	-1.502549	0.841148	-32.500000
1148.698355	-1.854532	0.807743	-35.100000
1297.825488	-2.284059	0.768771	-38.600000
1466.312710	-2.688052	0.733833	-42.500000
1656.673399	-3.185845	0.692959	-45.500000
1871.747229	-3.779330	0.647193	-50.000000
2114.742527	-4.424200	0.600883	-53.600000
2389.284132	-5.083099	0.556987	-55.600000
2699.467473	-5.897592	0.507131	-58.900000
3049.919655	-6.695521	0.462620	-61.100000
3445.868490	-7.486766	0.422339	-64.100000
3893.220475	-8.354960	0.382166	-67.000000
4398.648907	-9.305080	0.342567	-69.600000
4969.693427	-10.257258	0.306999	-71.800000
5614.872495	-11.157855	0.276762	-73.400000
6343.810458	-12.158771	0.246639	-75.300000
7167.381122	-13.215084	0.218397	-76.200000
8097.869962	-14.163577	0.195804	-77.800000
9149.157384	-15.210749	0.173565	-78.800000
10336.925788	-16.162060	0.155560	-80.600000
11678.893505	-17.252578	0.137205	-81.300000
13195.079108	-18.237447	0.122498	-80.700000
14908.100034	-19.362932	0.107610	-82.900000
16843.509979	-20.380013	0.095719	-83.700000
19030.180087	-21.470523	0.084426	-84.400000
21500.729634	-22.500305	0.074987	-84.500000
24292.012619	-23.531930	0.066589	-85.700000
27445.667524	-24.581388	0.059011	-87.000000
31008.738455	-25.663564	0.052098	-87.200000
35034.376909	-26.619143	0.046671	-86.200000
39582.634657	-27.668544	0.041359	-86.000000
44721.359550	-28.762359	0.036465	-87.200000
50527.207634	-29.868415	0.032105	-86.900000
57086.786649	-30.891466	0.028538	-87.300000
64497.947987	-31.893370	0.025429	-88.800000
72871.246373	-32.920618	0.022593	-87.600000
82331.589045	-34.058715	0.019818	-88.500000
93020.099039	-35.052717	0.017675	-87.200000
105096.220365	-36.099433	0.015669	-88.800000
118740.096485	-37.048895	0.014046	-88.100000
134155.257575	-38.230435	0.012260	-87.500000
151571.656651	-39.285405	0.010857	-87.600000
171249.099850	-40.287946	0.009674	-87.400000
193481.122048	-41.330830	0.008579	-87.000000
218599.365612	-42.518493	0.007483	-88.800000
246978.527622	-43.365335	0.006788	-88.400000
279041.949347	-44.455710	0.005987	-88.500000
315267.931366	-45.262474	0.005456	-88.600000
356196.868537	-46.231543	0.004880	-87.500000
402439.311242	-47.084965	0.004423	-89.800000
454685.073167	-47.948879	0.004005	-93.900000
513713.521483	-48.689574	0.003677	-93.800000
580405.202916	-49.258906	0.003444	-92.500000
655754.979155	-50.378021	0.003028	-94.900000
740886.867531	-53.196738	0.002189	-78.500000
837070.808348	-54.063494	0.001981	-79.800000
945741.609003	-54.614048	0.001859	-78.800000
