Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-24.181884	0.061788	87.700000
112.982271	-23.206743	0.069129	86.300000
127.649936	-22.585039	0.074259	84.700000
144.221796	-20.838980	0.090793	86.100000
162.945060	-20.457368	0.094871	83.000000
184.099030	-18.991693	0.112309	83.700000
207.999265	-17.928540	0.126933	84.700000
235.002293	-17.326217	0.136047	81.000000
265.510927	-15.438193	0.169079	83.000000
299.980275	-14.737029	0.183294	79.600000
338.924528	-13.971229	0.200188	76.400000
382.924628	-12.405403	0.239734	78.100000
432.636941	-12.267293	0.243576	74.700000
488.803041	-11.292107	0.272518	72.700000
552.260777	-9.816122	0.322994	72.400000
623.956767	-9.430741	0.337647	68.500000
704.960526	-8.490809	0.376235	66.600000
796.480411	-7.743824	0.410024	63.900000
899.881657	-6.120727	0.494269	59.000000
1016.706732	-5.524128	0.529412	56.400000
1148.698355	-5.055816	0.558739	54.000000
1297.825488	-3.977774	0.632574	49.100000
1466.312710	-3.683309	0.654387	46.800000
1656.673399	-3.398500	0.676200	43.100000
1871.747229	-2.768159	0.727096	40.100000
2114.742527	-2.596156	0.741638	35.800000
2389.284132	-1.614559	0.830371	35.700000
2699.467473	-1.706591	0.821619	29.400000
3049.919655	-1.706591	0.821619	27.100000
3445.868490	-1.149132	0.876079	22.200000
3893.220475	-1.404442	0.850703	21.200000
4398.648907	-1.121434	0.878877	18.800000
4969.693427	-0.569543	0.936533	17.400000
5614.872495	-0.843067	0.907500	14.100000
6343.810458	-0.694173	0.923191	13.500000
7167.381122	-0.427148	0.952012	12.500000
8097.869962	-0.694173	0.923191	10.600000
9149.157384	-0.694173	0.923191	9.400000
10336.925788	-0.287050	0.967492	7.700000
11678.893505	-0.694173	0.923191	6.500000
13195.079108	-0.694173	0.923191	4.900000
14908.100034	-0.560574	0.937500	5.600000
16843.509979	-0.560574	0.937500	3.800000
19030.180087	-0.560574	0.937500	3.400000
21500.729634	-0.560574	0.937500	3.900000
24292.012619	-0.560574	0.937500	2.200000
27445.667524	-0.286981	0.967500	2.500000
31008.738455	-0.491364	0.945000	2.800000
35034.376909	-0.491364	0.945000	1.500000
39582.634657	-0.286947	0.967504	0.900000
44721.359550	-0.422700	0.952500	1.000000
50527.207634	-0.422700	0.952500	0.000000
57086.786649	-0.420579	0.952733	1.200000
64497.947987	-0.287050	0.967492	0.000000
72871.246373	-0.488174	0.945347	0.800000
82331.589045	-0.354575	0.960000	0.900000
93020.099039	-0.422700	0.952500	0.000000
105096.220365	-0.422700	0.952500	-1.100000
118740.096485	-0.422700	0.952500	0.000000
134155.257575	-0.556299	0.937962	-1.400000
151571.656651	-0.422700	0.952500	-0.800000
171249.099850	-0.354575	0.960000	-0.900000
193481.122048	-0.422700	0.952500	-1.900000
218599.365612	-0.422700	0.952500	-1.100000
246978.527622	-0.286981	0.967500	-1.200000
279041.949347	-0.422700	0.952500	-1.400000
315267.931366	-0.422700	0.952500	-1.500000
356196.868537	-0.287015	0.967496	-1.700000
402439.311242	-0.556299	0.937962	-1.000000
454685.073167	-0.422700	0.952500	-1.100000
513713.521483	-0.422700	0.952500	0.000000
580405.202916	-0.217839	0.975232	-1.400000
655754.979155	-0.354575	0.960000	-0.800000
740886.867531	-0.424889	0.952260	-1.700000
837070.808348	-0.422700	0.952500	-1.000000
945741.609003	-0.422700	0.952500	-2.200000
1068520.347479	-0.218890	0.975114	-1.200000
1207238.554492	-0.422700	0.952500	0.000000
1363965.535042	-0.354575	0.960000	-2.300000
1541039.236909	0.072120	1.008338	-1.700000
1741101.126592	-0.032111	0.996310	0.000000
1967135.592927	-0.032111	0.996310	0.000000
2222514.466194	0.036553	1.004217	0.000000
2511047.316822	0.104678	1.012124	0.000000
2837038.283992	-0.032111	0.996310	-1.500000
3205350.281898	-0.055413	0.993641	-1.700000
3621477.541433	0.013798	1.001590	-1.000000
4091627.569434	-0.074398	0.991471	-1.100000
4622813.748095	-0.055413	0.993641	-1.200000
5222959.955890	-0.055413	0.993641	-1.400000
5901018.770674	-0.055413	0.993641	-0.800000
6667105.018213	0.064579	1.007463	0.000000
7532646.658369	0.144807	1.016811	0.000000
8510555.259715	-0.014228	0.998363	-1.100000
9615418.605651	0.090653	1.010491	-1.200000
1.086372E+7	-0.024296	0.997207	-1.400000
1.227408E+7	-0.064103	0.992647	0.000000
1.386753E+7	0.110778	1.012835	0.000000
1.566785E+7	0.058100	1.006711	0.000000
1.770189E+7	0.123048	1.014267	-1.100000
2.000000E+7	0.243518	1.028433	2.400000
