Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	0.020726	1.002389	0.000000
109.647820	0.020726	1.002389	0.000000
120.226443	0.020726	1.002389	0.000000
131.825674	0.175865	1.020454	0.900000
144.543977	-0.020788	0.997610	-1.000000
158.489319	0.032839	1.003788	0.000000
173.780083	0.032839	1.003788	0.000000
190.546072	0.074498	1.008614	-1.300000
208.929613	0.128605	1.014916	0.800000
229.086765	0.032839	1.003788	0.000000
251.188643	0.088358	1.010225	0.000000
275.422870	0.088908	1.010288	0.000000
301.995172	0.142509	1.016542	1.100000
331.131121	0.053601	1.006190	0.000000
363.078055	0.129200	1.014986	0.000000
398.107171	0.156288	1.018156	0.800000
436.515832	0.081201	1.009392	0.000000
478.630092	0.095326	1.011035	0.000000
524.807460	0.121897	1.014133	0.000000
575.439937	0.120568	1.013978	0.000000
630.957344	0.141069	1.016374	0.000000
691.830971	0.217137	1.025314	0.000000
758.577575	0.289499	1.033891	0.000000
831.763771	0.232550	1.027135	-0.800000
912.010839	0.294465	1.034483	-0.900000
1000.000000	0.282493	1.033058	0.000000
1096.478196	0.402651	1.047448	-1.100000
1202.264435	0.480006	1.056818	-1.200000
1318.256739	0.552741	1.065705	-1.300000
1445.439771	0.625394	1.074657	-1.500000
1584.893192	0.849364	1.102727	-0.800000
1737.800829	1.065445	1.130504	-2.700000
1905.460718	1.186170	1.146327	-2.000000
2089.296131	1.360894	1.169620	-2.200000
2290.867653	1.821563	1.233327	-2.400000
2511.886432	2.285819	1.301041	-2.600000
2754.228703	2.731243	1.369500	-3.800000
3019.951720	3.341166	1.469124	-3.300000
3311.311215	4.363587	1.652644	-5.500000
3630.780548	5.643088	1.914937	-4.000000
3981.071706	7.309578	2.319952	-7.700000
4365.158322	9.980252	3.155096	-10.800000
4786.300923	14.783651	5.485075	-21.000000
5248.074602	22.338467	13.089509	-92.200000
5754.399373	13.059688	4.497637	-157.300000
6309.573445	6.826691	2.194495	-168.400000
6918.309709	2.510617	1.335152	-172.700000
7585.775750	-0.782329	0.913868	-173.500000
8317.637711	-3.631346	0.658313	-174.500000
9120.108394	-6.183376	0.490717	-176.400000
10000.000000	-8.449996	0.378007	-176.100000
10964.781961	-10.693956	0.291946	-177.300000
12022.644346	-12.695015	0.231873	-177.900000
13182.567386	-14.710530	0.183854	-177.700000
14454.397707	-16.569783	0.148426	-178.000000
15848.931925	-18.587911	0.117653	-177.300000
17378.008287	-20.423336	0.095243	-176.400000
19054.607180	-22.277459	0.076936	-178.000000
20892.961309	-24.051950	0.062719	-177.700000
22908.676528	-25.872465	0.050860	-178.300000
25118.864315	-27.686039	0.041276	-178.200000
27542.287033	-29.721772	0.032652	-178.500000
30199.517204	-31.638107	0.026188	-178.900000
33113.112148	-33.689688	0.020678	-179.400000
36307.805477	-35.662341	0.016477	-178.700000
39810.717055	-37.700026	0.013032	-177.700000
43651.583224	-39.965539	0.010040	-178.300000
47863.009232	-42.427267	0.007562	-176.800000
52480.746025	-45.368225	0.005390	-179.500000
57543.993734	-48.408048	0.003798	-178.900000
63095.734448	-52.901174	0.002264	-172.400000
69183.097092	-59.550134	0.001053	-188.200000
75857.757503	-60.278491	0.000968	-54.100000
83176.377110	-54.119498	0.001968	-12.100000
91201.083936	-52.483071	0.002376	-9.800000
100000.000000	-50.527341	0.002976	-7.800000
109647.819614	-48.830629	0.003618	-3.300000
120226.443462	-48.201008	0.003890	-9.600000
131825.673856	-47.290325	0.004320	-6.500000
144543.977075	-46.157168	0.004922	-4.500000
158489.319246	-45.342479	0.005406	-10.200000
173780.082875	-45.107882	0.005554	-0.900000
190546.071796	-44.794567	0.005758	0.000000
208929.613085	-44.794567	0.005758	-5.500000
229086.765277	-44.007676	0.006304	-1.200000
251188.643151	-43.814194	0.006446	-4.000000
275422.870334	-43.107972	0.006992	-6.100000
301995.172040	-42.764534	0.007274	-6.600000
331131.121483	-41.879767	0.008054	-9.100000
363078.054770	-37.174768	0.013844	-29.800000
398107.170553	-49.273883	0.003438	-86.700000
436515.832240	-45.794267	0.005132	-33.700000
478630.092323	-45.120403	0.005546	-7.900000
524807.460250	-44.503823	0.005954	-6.200000
575439.937337	-44.039863	0.006281	-1.700000
630957.344480	-43.585465	0.006618	-18.100000
691830.970919	-42.828296	0.007221	169.000000
758577.575029	-43.307487	0.006833	-3.200000
831763.771103	-42.222937	0.007742	-9.900000
912010.839356	-43.824981	0.006438	-8.500000
1000000.000000	-43.514879	0.006672	-12.300000
