Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	0.090075	1.010424	-1.400000
109.647820	0.023999	1.002767	0.000000
120.226443	0.029717	1.003427	-0.800000
131.825674	0.149438	1.017354	0.000000
144.543977	0.090075	1.010424	-1.000000
158.489319	0.090075	1.010424	-1.100000
173.780083	0.023851	1.002750	-1.200000
190.546072	0.090075	1.010424	-1.300000
208.929613	0.036023	1.004156	-1.500000
229.086765	0.035628	1.004110	-0.800000
251.188643	0.029942	1.003453	-1.800000
275.422870	0.083995	1.009717	-1.000000
301.995172	0.090075	1.010424	-2.200000
331.131121	0.053460	1.006174	-1.200000
363.078055	0.090075	1.010424	-1.300000
398.107171	0.041954	1.004842	-1.500000
436.515832	0.083190	1.009624	-1.700000
478.630092	0.053791	1.006212	-2.700000
524.807460	0.107944	1.012505	-3.000000
575.439937	0.154555	1.017953	-1.100000
630.957344	0.124317	1.014415	-2.400000
691.830971	0.190906	1.022222	-2.600000
758.577575	0.136854	1.015881	-3.000000
831.763771	0.212064	1.024715	-3.300000
912.010839	0.230756	1.026923	-4.500000
1000.000000	0.371993	1.043758	-5.000000
1096.478196	0.377707	1.044444	-4.400000
1202.264435	0.424009	1.050027	-4.800000
1318.256739	0.560574	1.066667	-5.200000
1445.439771	0.607184	1.072406	-6.800000
1584.893192	0.746493	1.089744	-7.400000
1737.800829	0.930628	1.113093	-9.100000
1905.460718	1.166680	1.143758	-10.000000
2089.296131	1.416200	1.177091	-9.800000
2290.867653	1.548884	1.195210	-12.000000
2511.886432	2.053247	1.266667	-13.100000
2754.228703	2.440247	1.324379	-14.400000
3019.951720	2.960757	1.406170	-17.400000
3311.311215	3.676659	1.526979	-21.800000
3630.780548	4.528015	1.684227	-25.900000
3981.071706	5.562973	1.897355	-33.800000
4365.158322	6.935485	2.222154	-45.400000
4786.300923	8.153997	2.556818	-64.100000
5248.074602	8.279286	2.593966	-89.300000
5754.399373	6.571926	2.131063	-114.200000
6309.573445	3.856446	1.558914	-132.700000
6918.309709	0.983095	1.119837	-145.100000
7585.775750	-1.645396	0.827428	-151.200000
8317.637711	-4.319862	0.608145	-157.600000
9120.108394	-6.580804	0.468770	-162.000000
10000.000000	-8.688767	0.367758	-164.200000
10964.781961	-10.768056	0.289466	-166.000000
12022.644346	-12.826795	0.228381	-167.900000
13182.567386	-14.813185	0.181694	-169.500000
14454.397707	-16.625647	0.147475	-171.000000
15848.931925	-18.548987	0.118182	-172.300000
17378.008287	-20.392611	0.095581	-173.400000
19054.607180	-22.147766	0.078093	-172.100000
20892.961309	-23.991970	0.063154	-173.200000
22908.676528	-25.956886	0.050368	-175.000000
25118.864315	-27.579413	0.041786	-175.900000
27542.287033	-29.481052	0.033570	-174.500000
30199.517204	-31.353250	0.027061	-176.100000
33113.112148	-33.657460	0.020755	-176.400000
36307.805477	-35.563025	0.016667	-177.400000
39810.717055	-38.046499	0.012522	-177.000000
43651.583224	-39.814724	0.010216	-175.400000
47863.009232	-42.205479	0.007758	-175.000000
52480.746025	-44.983134	0.005634	-175.600000
57543.993734	-47.634013	0.004152	-177.800000
63095.734448	-51.842518	0.002558	-181.200000
69183.097092	-58.378258	0.001205	-182.700000
75857.757503	-62.495473	0.000750	-62.100000
83176.377110	-54.234768	0.001942	-26.500000
91201.083936	-51.466050	0.002671	-8.200000
100000.000000	-49.658861	0.003289	-4.000000
109647.819614	-48.348043	0.003825	-5.500000
120226.443462	-47.911113	0.004022	-8.500000
131825.673856	-47.059033	0.004437	2.600000
144543.977075	-45.942963	0.005045	3.000000
158489.319246	-45.414582	0.005361	-11.800000
173780.082875	-44.288458	0.006103	0.000000
190546.071796	-43.582765	0.006620	-3.900000
208929.613085	-44.713141	0.005812	-4.400000
229086.765277	-43.700911	0.006531	-20.300000
251188.643151	-43.387424	0.006771	-6.500000
275422.870334	-42.673485	0.007351	-7.600000
301995.172040	-43.603519	0.006604	-9.800000
331131.121483	-42.378309	0.007605	-13.600000
363078.054770	-38.517862	0.011861	-44.800000
398107.170553	-50.088783	0.003130	-34.300000
436515.832240	-46.755187	0.004595	-8.300000
478630.092323	-45.974268	0.005027	-12.100000
524807.460250	-45.191703	0.005501	-5.400000
575439.937337	-45.582779	0.005258	-8.200000
630957.344480	-45.009873	0.005617	-13.000000
691830.970919	-44.915840	0.005678	-11.100000
758577.575029	-44.828934	0.005735	-13.000000
831763.771103	-43.860912	0.006411	-25.300000
912010.839356	-46.575572	0.004691	-35.900000
1000000.000000	-45.257803	0.005459	-14.100000
