Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-0.964215	0.894930	0.000000
109.647820	-0.964215	0.894930	-0.800000
120.226443	-0.964215	0.894930	-0.800000
131.825674	-0.964215	0.894930	0.000000
144.543977	-0.964215	0.894930	-1.000000
158.489319	-0.964215	0.894930	-1.100000
173.780083	-0.964215	0.894930	0.000000
190.546072	-0.964215	0.894930	0.000000
208.929613	-0.964215	0.894930	-0.800000
229.086765	-0.964215	0.894930	-0.800000
251.188643	-0.964215	0.894930	-0.900000
275.422870	-0.964215	0.894930	-1.000000
301.995172	-0.964215	0.894930	-1.100000
331.131121	-0.964215	0.894930	0.000000
363.078055	-0.964215	0.894930	-1.300000
398.107171	-0.964215	0.894930	-0.800000
436.515832	-0.964215	0.894930	-1.700000
478.630092	-0.964215	0.894930	-0.900000
524.807460	-0.964215	0.894930	-1.000000
575.439937	-0.964215	0.894930	-2.200000
630.957344	-0.964215	0.894930	-1.200000
691.830971	-0.964215	0.894930	-1.300000
758.577575	-0.964215	0.894930	-1.500000
831.763771	-0.964215	0.894930	-2.500000
912.010839	-0.964215	0.894930	-2.700000
1000.000000	-1.009894	0.890236	-3.000000
1096.478196	-1.009894	0.890236	-3.300000
1202.264435	-1.009894	0.890236	-2.400000
1318.256739	-1.009894	0.890236	-2.600000
1445.439771	-1.009894	0.890236	-3.800000
1584.893192	-1.009894	0.890236	-4.100000
1737.800829	-1.009894	0.890236	-4.500000
1905.460718	-1.009894	0.890236	-5.000000
2089.296131	-1.055750	0.885549	-5.500000
2290.867653	-1.100951	0.880952	-6.000000
2511.886432	-1.085220	0.882549	-6.600000
2754.228703	-1.217630	0.869198	-8.300000
3019.951720	-1.242082	0.866754	-8.300000
3311.311215	-1.274982	0.863477	-10.000000
3630.780548	-1.315429	0.859466	-9.900000
3981.071706	-1.364119	0.854661	-10.900000
4365.158322	-1.428484	0.848351	-12.000000
4786.300923	-1.554914	0.836092	-14.500000
5248.074602	-1.641780	0.827773	-15.800000
5754.399373	-1.766809	0.815942	-17.400000
6309.573445	-1.959759	0.798017	-18.200000
6918.309709	-2.088558	0.786271	-20.900000
7585.775750	-2.446944	0.754489	-22.900000
8317.637711	-2.830167	0.721924	-26.200000
9120.108394	-3.372251	0.678246	-28.800000
10000.000000	-3.945729	0.634912	-31.600000
10964.781961	-5.006462	0.561923	-35.600000
12022.644346	-6.600198	0.467724	-38.200000
13182.567386	-9.088203	0.351229	-40.100000
14454.397707	-12.933198	0.225601	-32.000000
15848.931925	-16.079635	0.157043	7.700000
17378.008287	-12.205309	0.245321	44.400000
19054.607180	-8.244167	0.387072	51.200000
20892.961309	-5.654024	0.521553	47.800000
22908.676528	-4.108904	0.623096	44.200000
25118.864315	-2.882141	0.717617	38.400000
27542.287033	-2.206497	0.775667	35.000000
30199.517204	-1.673888	0.824718	30.700000
33113.112148	-1.336617	0.857372	27.700000
36307.805477	-1.068530	0.884247	23.800000
39810.717055	-0.848484	0.906934	21.900000
43651.583224	-0.567154	0.936790	19.100000
47863.009232	-0.473310	0.946966	18.100000
52480.746025	-0.375163	0.957727	16.000000
57543.993734	-0.275895	0.968736	14.200000
63095.734448	-0.275895	0.968736	13.200000
69183.097092	-0.225608	0.974360	11.800000
75857.757503	-0.175478	0.980000	10.600000
83176.377110	-0.172336	0.980355	9.900000
91201.083936	-0.124606	0.985757	8.200000
100000.000000	-0.124606	0.985757	7.000000
109647.819614	-0.124606	0.985757	6.600000
120226.443462	-0.121445	0.986115	6.000000
131825.673856	-0.124606	0.985757	5.300000
144543.977075	-0.073888	0.991529	5.300000
158489.319246	-0.073888	0.991529	5.000000
173780.082875	-0.073888	0.991529	4.500000
190546.071796	-0.073888	0.991529	4.000000
208929.613085	-0.073888	0.991529	3.300000
229086.765277	-0.073888	0.991529	3.600000
251188.643151	-0.073888	0.991529	2.600000
275422.870334	-0.073888	0.991529	3.000000
301995.172040	-0.073888	0.991529	1.700000
331131.121483	-0.021372	0.997542	1.800000
363078.054770	-0.073888	0.991529	2.000000
398107.170553	-0.073888	0.991529	1.100000
436515.832240	-0.073888	0.991529	2.400000
478630.092323	-0.073888	0.991529	1.300000
524807.460250	-0.073888	0.991529	1.500000
575439.937337	-0.073888	0.991529	0.800000
630957.344480	-0.073888	0.991529	0.900000
691830.970919	-0.073888	0.991529	0.000000
758577.575029	-0.073888	0.991529	0.000000
831763.771103	-0.073888	0.991529	0.000000
912010.839356	-0.073888	0.991529	0.000000
1000000.000000	-0.073888	0.991529	0.000000
