Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
8000.000000	-2.659200	0.736275	-25.300000
8147.958103	-2.732281	0.730106	-24.300000
8298.652655	-2.813116	0.723343	-25.700000
8452.134268	-2.892861	0.716732	-26.200000
8608.454487	-2.980085	0.709571	-26.700000
8767.665811	-3.129919	0.697435	-27.900000
8929.821711	-3.215352	0.690609	-28.400000
9094.976646	-3.371259	0.678324	-28.100000
9263.186082	-3.469963	0.670659	-29.600000
9434.506511	-3.582427	0.662032	-29.200000
9608.995472	-3.708107	0.652521	-30.700000
9786.711564	-3.891889	0.638860	-31.300000
9967.714474	-4.038737	0.628150	-31.700000
10152.064989	-4.222730	0.614984	-33.200000
10339.825023	-4.357108	0.605542	-34.900000
10531.057635	-4.599900	0.588850	-34.500000
10725.827048	-4.754806	0.578442	-34.100000
10924.198676	-5.004479	0.562051	-34.800000
11126.239139	-5.269303	0.545174	-35.500000
11332.016293	-5.536174	0.528678	-36.100000
11541.599247	-5.961078	0.503438	-37.900000
11755.058388	-6.193882	0.490124	-38.600000
11972.465405	-6.587818	0.468392	-38.200000
12193.893313	-6.975418	0.447950	-38.800000
12419.416478	-7.362646	0.428418	-38.400000
12649.110641	-7.842135	0.405409	-39.100000
12883.052942	-8.361133	0.381894	-40.000000
13121.321951	-8.937834	0.357362	-40.500000
13363.997688	-9.576935	0.332012	-39.100000
13611.161656	-10.214997	0.308496	-39.600000
13862.896863	-11.063080	0.279799	-36.600000
14119.287853	-11.838178	0.255912	-36.000000
14380.420733	-12.690395	0.231996	-34.000000
14646.383204	-13.654510	0.207623	-28.000000
14917.264588	-14.491308	0.188554	-21.700000
15193.155859	-15.325246	0.171292	-15.200000
15474.149673	-15.893895	0.160437	-5.600000
15760.340401	-16.134300	0.156058	5.700000
16051.824159	-15.875971	0.160769	15.100000
16348.698840	-15.222924	0.173322	25.400000
16651.064148	-14.477090	0.188862	33.000000
16959.021630	-13.490551	0.211579	38.400000
17272.674713	-12.612300	0.234091	43.200000
17592.128736	-11.706683	0.259816	46.500000
17917.490985	-10.764716	0.289577	49.000000
18248.870731	-9.933354	0.318663	50.000000
18586.379267	-9.283685	0.343412	50.900000
18930.129944	-8.490066	0.376268	51.700000
19280.238208	-7.837874	0.405608	50.900000
19636.821641	-7.330198	0.430021	51.000000
20000.000000	-6.857056	0.454095	50.900000
20369.895257	-6.386841	0.479356	50.900000
20746.631639	-5.921378	0.505744	48.900000
21130.335670	-5.461047	0.533271	48.900000
21521.136217	-5.069699	0.557847	46.600000
21919.164528	-4.750658	0.578718	46.600000
22324.554277	-4.400688	0.602512	46.300000
22737.441614	-4.231945	0.614331	43.900000
23157.965204	-3.955638	0.634188	42.500000
23586.266279	-3.680901	0.654568	42.200000
24022.488680	-3.492457	0.668925	40.900000
24466.778911	-3.252479	0.687664	40.400000
24919.286184	-3.078552	0.701572	38.800000
25380.162472	-2.869749	0.718642	38.400000
25849.562558	-2.696976	0.733080	37.800000
26327.644087	-2.561345	0.744617	36.000000
26814.567620	-2.431374	0.755842	35.500000
27310.496689	-2.307712	0.766680	34.700000
27815.597848	-2.153497	0.780414	32.800000
28330.040734	-2.060513	0.788814	32.100000
28853.998118	-1.807097	0.812167	32.700000
29387.645970	-1.709763	0.821319	31.800000
29931.163513	-1.611712	0.830643	31.100000
30484.733284	-1.512541	0.840181	30.200000
31048.541196	-1.462527	0.845033	28.700000
31622.776602	-1.412224	0.849941	29.300000
32207.632355	-1.310337	0.859970	28.200000
32803.304877	-1.259142	0.865053	27.900000
33409.994221	-1.207644	0.870197	26.900000
34027.904141	-1.152590	0.875731	26.500000
34657.242158	-1.103722	0.880671	25.400000
35298.219632	-1.051291	0.886004	24.900000
35951.051833	-0.998542	0.891401	24.500000
36615.958010	-0.998542	0.891401	24.100000
