Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-4.357502	0.605515	-1.400000
112.982271	-4.405273	0.602194	-1.500000
127.649936	-4.405273	0.602194	-1.700000
144.221796	-4.405273	0.602194	-1.000000
162.945060	-4.454273	0.598806	-1.100000
184.099030	-4.501199	0.595580	-1.200000
207.999265	-4.501199	0.595580	-1.400000
235.002293	-4.501199	0.595580	-1.500000
265.510927	-4.501199	0.595580	-0.900000
299.980275	-4.501199	0.595580	-1.000000
338.924528	-4.501199	0.595580	-1.100000
382.924628	-4.501199	0.595580	0.000000
432.636941	-4.550745	0.592192	-1.400000
488.803041	-4.550745	0.592192	0.000000
552.260777	-4.550745	0.592192	-0.900000
623.956767	-4.550745	0.592192	0.000000
704.960526	-4.550745	0.592192	-1.100000
796.480411	-4.550745	0.592192	0.000000
899.881657	-4.501199	0.595580	-1.400000
1016.706732	-4.501199	0.595580	-0.800000
1148.698355	-4.501199	0.595580	-0.900000
1297.825488	-4.501199	0.595580	-1.000000
1466.312710	-4.501199	0.595580	-1.100000
1656.673399	-4.501199	0.595580	0.000000
1871.747229	-4.501199	0.595580	-1.400000
2114.742527	-4.501199	0.595580	-0.800000
2389.284132	-4.501199	0.595580	-0.900000
2699.467473	-4.501199	0.595580	-1.000000
3049.919655	-4.501199	0.595580	-1.100000
3445.868490	-4.501199	0.595580	-1.200000
3893.220475	-4.501199	0.595580	-1.400000
4398.648907	-4.501199	0.595580	-1.500000
4969.693427	-4.501199	0.595580	-1.700000
5614.872495	-4.501199	0.595580	-1.000000
6343.810458	-4.501199	0.595580	-2.200000
7167.381122	-4.501199	0.595580	-1.200000
8097.869962	-4.501199	0.595580	-2.800000
9149.157384	-4.501199	0.595580	-2.300000
10336.925788	-4.501199	0.595580	-2.600000
11678.893505	-4.501199	0.595580	-2.900000
13195.079108	-4.501199	0.595580	-3.300000
14908.100034	-4.501199	0.595580	-3.700000
16843.509979	-4.501199	0.595580	-4.200000
19030.180087	-4.501199	0.595580	-4.500000
21500.729634	-4.552982	0.592040	-5.100000
24292.012619	-4.550745	0.592192	-4.800000
27445.667524	-4.598255	0.588962	-6.500000
31008.738455	-4.692957	0.582575	-7.400000
35034.376909	-4.692957	0.582575	-8.300000
39582.634657	-4.692957	0.582575	-9.100000
44721.359550	-4.692957	0.582575	-10.200000
50527.207634	-4.692957	0.582575	-11.600000
57086.786649	-4.692957	0.582575	-13.100000
64497.947987	-4.692957	0.582575	-13.500000
72871.246373	-4.741331	0.579340	-16.700000
82331.589045	-4.788067	0.576231	-18.200000
93020.099039	-4.838171	0.572917	-20.500000
105096.220365	-4.888566	0.569602	-23.200000
118740.096485	-4.888566	0.569602	-26.200000
134155.257575	-4.981289	0.563554	-28.400000
151571.656651	-5.080530	0.557152	-32.100000
171249.099850	-5.080530	0.557152	-36.200000
193481.122048	-5.180917	0.550750	-40.200000
218599.365612	-5.282479	0.544347	-45.400000
246978.527622	-5.334962	0.541068	-50.200000
279041.949347	-5.295041	0.543561	-54.100000
315267.931366	-5.303955	0.543003	-61.400000
356196.868537	-5.421055	0.535732	-69.600000
402439.311242	-5.338923	0.540821	-77.600000
454685.073167	-5.261617	0.545656	-86.900000
513713.521483	-5.226206	0.547885	-99.300000
580405.202916	-5.201050	0.549474	-111.800000
655754.979155	-5.225378	0.547938	-127.900000
740886.867531	-5.248012	0.546512	-145.200000
837070.808348	-5.478257	0.532215	-165.500000
945741.609003	-5.874724	0.508468	-186.300000
1068520.347479	-6.256164	0.486622	152.300000
1207238.554492	-6.641521	0.465505	127.800000
1363965.535042	-6.649657	0.465069	100.100000
1541039.236909	-6.745419	0.459970	67.200000
1741101.126592	-6.815965	0.456249	30.800000
1967135.592927	-7.259763	0.433523	-11.600000
2222514.466194	-7.632384	0.415318	-58.900000
2511047.316822	-7.683397	0.412886	-108.100000
2837038.283992	-7.907778	0.402357	-168.200000
3205350.281898	-8.195451	0.389249	124.500000
3621477.541433	-8.645010	0.369615	49.500000
4091627.569434	-8.485327	0.376473	-34.700000
4622813.748095	-8.581048	0.372347	-132.400000
5222959.955890	-8.989185	0.355255	120.400000
5901018.770674	-9.245258	0.344935	-4.200000
6667105.018213	-9.496643	0.335095	-138.400000
7532646.658369	-9.874652	0.320824	65.700000
8510555.259715	-9.753130	0.325345	-113.600000
9615418.605651	-10.149708	0.310824	45.800000
1.086372E+7	-10.376912	0.302799	-173.900000
1.227408E+7	-10.725064	0.290902	-72.600000
1.386753E+7	-11.141580	0.277282	-0.800000
1.566785E+7	-11.356557	0.270503	37.800000
1.770189E+7	-12.105188	0.248165	28.200000
2.000000E+7	-12.672492	0.232475	-24.100000
