I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000030	0.581657	-0.000017	0.002774
0.000032	0.583586	-0.000017	0.002839
0.000034	0.585352	-0.000018	0.002872
0.000035	0.586941	-0.000017	0.002839
0.000037	0.588497	-0.000019	0.002969
0.000039	0.590183	-0.000018	0.002985
0.000040	0.591658	-0.000019	0.002904
0.000042	0.593068	-0.000020	0.003115
0.000044	0.594397	-0.000021	0.003180
0.000045	0.595953	-0.000020	0.003082
0.000047	0.597234	-0.000021	0.003163
0.000049	0.598417	-0.000022	0.003180
0.000050	0.599665	-0.000021	0.003245
0.000052	0.600913	-0.000021	0.003228
0.000054	0.601967	-0.000023	0.003196
0.000055	0.603183	-0.000023	0.003293
0.000057	0.604301	-0.000022	0.003277
0.000059	0.605306	-0.000022	0.003293
0.000060	0.606408	-0.000023	0.003342
0.000062	0.607446	-0.000023	0.003407
0.000064	0.608370	-0.000023	0.003358
0.000065	0.609375	-0.000024	0.003455
0.000067	0.610428	-0.000024	0.003455
0.000069	0.611352	-0.000023	0.003471
0.000070	0.612211	-0.000025	0.003488
0.000072	0.613038	-0.000024	0.003471
0.000074	0.613929	-0.000024	0.003455
0.000075	0.614837	-0.000025	0.003666
0.000077	0.615712	-0.000024	0.003601
0.000079	0.616539	-0.000025	0.003617
0.000081	0.617236	-0.000026	0.003585
0.000082	0.618030	-0.000025	0.003552
0.000084	0.618841	-0.000024	0.003617
0.000086	0.619587	-0.000025	0.003682
0.000087	0.620462	-0.000024	0.003585
0.000089	0.621175	-0.000026	0.003634
0.000091	0.621856	-0.000026	0.003715
0.000092	0.622634	-0.000025	0.003731
0.000094	0.623234	-0.000027	0.003779
0.000096	0.624028	-0.000027	0.003779
0.000097	0.624741	-0.000026	0.003796
0.000099	0.625292	-0.000026	0.003779
0.000101	0.626005	-0.000026	0.003779
0.000102	0.626686	-0.000027	0.003666
0.000104	0.627351	-0.000026	0.003763
0.000106	0.627999	-0.000027	0.003682
0.000108	0.628566	-0.000027	0.003779
0.000109	0.629150	-0.000027	0.003747
0.000111	0.629669	-0.000027	0.003796
0.000113	0.630366	-0.000027	0.003796
0.000114	0.631046	-0.000026	0.003828
